timestamp_iso,hora_legible,evento,detalle
2026-09-20T17:54:10.322334,17:54:10,SESSION_START,
2026-09-20T17:54:25.406010,17:54:25,NOTE,"Distracción total, la impedancia está a todo lo que da."
2026-09-20T17:54:34.254691,17:54:34,ARTIFACT_TEST_START,
2026-09-20T17:54:37.861616,17:54:37,BLINK,
2026-09-20T17:54:42.465779,17:54:42,ARTIFACT_TEST_END,
2026-09-20T17:54:50.449864,17:54:50,BASELINE1_EC_START,
2026-09-20T17:55:03.774871,17:55:03,NOTE,"mucho movimiento de cabeza, alta impedancia."
2026-09-20T17:55:08.946583,17:55:08,BASELINE1_EC_END,
2026-09-20T17:55:13.843742,17:55:13,SCROLL_FEED_START,
2026-09-20T17:55:23.962281,17:55:23,NOTE,su risa me está moviendo todo el impedance check.
2026-09-20T17:55:27.673387,17:55:27,SESSION_END,
