timestamp_iso,hora_legible,evento,detalle
2026-09-20T18:11:13.988971,18:11:13,HAIR_CHECK_START,
2026-09-20T18:11:26.679738,18:11:26,NOTE,"cabello demasiado denso, alta impedancia segura."
2026-09-20T18:11:37.683873,18:11:37,CAP_PLACEMENT_START,
2026-09-20T18:11:56.614652,18:11:56,CAP_GREEN_STABLE,
2026-09-20T18:12:33.056858,18:12:33,BASELINE1_EC_START,
2026-09-20T18:12:56.821261,18:12:56,NOTE,"demasiados parpadeos, pero todo estable."
2026-09-20T18:13:12.775778,18:13:12,BASELINE1_EC_END,
2026-09-20T18:13:18.590070,18:13:18,BASELINE1_EO_START,
2026-09-20T18:13:40.404165,18:13:40,NOTE,le costó demasiado ver a la cruz por los priemros secs.
2026-09-20T18:13:44.334440,18:13:44,BASELINE1_EO_END,
2026-09-20T18:14:05.589219,18:14:05,READING1_START,
2026-09-20T18:14:26.931639,18:14:26,READING1_END,
2026-09-20T18:14:48.450939,18:14:48,REDIRECT_REELS,"fue casi automático, se fue a reels."
2026-09-20T18:15:08.592861,18:15:08,SCROLL_REELS_START,
2026-09-20T18:15:22.466695,18:15:22,NOTE,"se mueve bastante (risas), alta impedancia."
2026-09-20T18:15:34.233612,18:15:34,SCROLL_REELS_END,
2026-09-20T18:15:40.923643,18:15:40,ARTIFACT_TEST_END,
2026-09-20T18:15:59.431996,18:15:59,NOTE,el anterior artifact test es un momento fugaz de buena señal (a comparar).
2026-09-20T18:16:14.381740,18:16:14,ARTIFACT_TEST_END,
2026-09-20T18:16:30.041706,18:16:30,NOTE,"de nuevo, cambio en la impedancia, para corroborar."
2026-09-20T18:16:38.204596,18:16:38,SESSION_END,
